company_name,job_title,job_type,Department,Location,Posted_Time,Salary_range
FarmCity Limited,Waiter/Waitresses,Food Services & Catering,Food Services & Catering,Lagos,1 month ,"NGN 70,000 - 150,000"
Castville Solutions,Project & Product Manager,Product & Project Management,Product & Project Management,Lagos,1 month ,"NGN 400,000 - 600,000"
Darway Coast Nigeria Limited,Logistics Manager,Driver & Transport Services,Driver & Transport Services,Imo,1 month ,"NGN 250,000 - 400,000"
Darway Coast Nigeria Limited,ESHS Coordinator,Health & Safety,Health & Safety,Lagos,1 month ,"NGN 250,000 - 400,000"
Devon Pharmaceuticals Co. Ltd,Sales Representative,Medical & Pharmaceutical,Medical & Pharmaceutical,Abeokuta & Ogun State,1 month ,"NGN 70,000 - 150,000"
Darway Coast Nigeria Limited,Accountant,"Accounting, Auditing & Finance","Accounting, Auditing & Finance",Lagos,1 month ,"NGN 400,000 - 600,000"
Browncon Group of Companies,Relationship Sales Officer,Marketing & Communications,Marketing & Communications,Abuja,1 month ,"NGN 150,000 - 250,000"
ElsaDave Consulting Nig. Ltd.,Immigration Lawyer,Legal Services,Legal Services,Remote (Work From Home),1 month ,"NGN 400,000 - 600,000"
Kenex Konsults International,Graphic Designer / Social Media Manager,Building & Architecture,Building & Architecture,Port Harcourt & Rivers State,1 month ,"NGN 70,000 - 150,000"
Greenbox Facilities Limited,Senior Sales & Business Development Executive,Sales,Sales,Abuja,1 month ,"NGN 150,000 - 250,000"
Biokeft Pharmaceutical Limited,Medical Sales Representative,Medical & Pharmaceutical,Medical & Pharmaceutical,Lagos,1 month ,"NGN 70,000 - 150,000"
Devon Pharmaceuticals Co. Ltd,Sales Representative,Medical & Pharmaceutical,Medical & Pharmaceutical,Abuja,1 month ,"NGN 70,000 - 150,000"
Raremagic Studios,Community & Growth Manager,Community & Social Services,Community & Social Services,Lagos,1 month ,"NGN 250,000 - 400,000"
Devon Pharmaceuticals Co. Ltd,Sales Representative,Medical & Pharmaceutical,Medical & Pharmaceutical,Ibadan & Oyo State,1 month ,"NGN 70,000 - 150,000"
Presidera,Social Media Associate,Marketing & Communications,Marketing & Communications,Lagos,1 month ,"NGN 70,000 - 150,000"
JV Management Consulting Limited,Executive Assistant,Admin & Office,Admin & Office,Lagos,1 month ,"NGN 70,000 - 150,000"
Ashmed Integrated Health Services Limited,Finance and Account Officer,"Accounting, Auditing & Finance","Accounting, Auditing & Finance",Abuja,1 month ,"NGN 150,000 - 250,000"
